CO(GT),PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,datetimestamp,DateTime
0.5,758.0,1.5,546.0,27.0,1483.0,33.0,1252.0,396.0,14.6,53.3,0.8807,1083981600,2004-05-08 02:00:00
4.4,1378.0,20.2,1303.0,257.0,633.0,117.0,2051.0,1494.0,17.8,51.1,1.0362,1084179600,2004-05-10 09:00:00
2.5,1132.0,13.4,1096.0,178.0,731.0,107.0,1808.0,1186.0,20.0,45.0,1.0379,1084183200,2004-05-10 10:00:00
2.1,1108.0,11.7,1040.0,145.0,767.0,95.0,1748.0,1051.0,20.3,44.1,1.0392,1084186800,2004-05-10 11:00:00
2.4,1131.0,13.4,1097.0,137.0,735.0,93.0,1797.0,1027.0,20.7,42.4,1.0248,1084190400,2004-05-10 12:00:00
2.2,1105.0,12.9,1080.0,139.0,751.0,104.0,1758.0,981.0,20.8,40.6,0.9888,1084194000,2004-05-10 13:00:00
2.2,1120.0,13.4,1096.0,130.0,753.0,102.0,1767.0,976.0,21.5,39.7,1.0042,1084197600,2004-05-10 14:00:00
2.3,1100.0,13.7,1108.0,148.0,800.0,109.0,1731.0,932.0,25.0,30.1,0.9394,1084201200,2004-05-10 15:00:00
2.1,1098.0,14.2,1124.0,120.0,810.0,97.0,1716.0,871.0,25.2,29.7,0.9371,1084204800,2004-05-10 16:00:00
2.5,1137.0,17.8,1234.0,132.0,749.0,104.0,1824.0,990.0,23.4,32.0,0.91,1084208400,2004-05-10 17:00:00
3.6,1267.0,22.0,1352.0,188.0,651.0,124.0,1961.0,1196.0,21.0,37.8,0.9298,1084212000,2004-05-10 18:00:00
4.0,1319.0,24.4,1413.0,204.0,597.0,135.0,2050.0,1329.0,19.2,45.7,1.0084,1084215600,2004-05-10 19:00:00
3.0,1160.0,16.3,1189.0,167.0,698.0,122.0,1824.0,1151.0,17.7,50.9,1.0232,1084219200,2004-05-10 20:00:00
2.1,1084.0,12.4,1063.0,128.0,775.0,109.0,1703.0,1031.0,16.8,53.6,1.0167,1084222800,2004-05-10 21:00:00
1.7,1025.0,9.6,963.0,106.0,842.0,95.0,1621.0,917.0,15.8,56.2,1.0033,1084226400,2004-05-10 22:00:00
1.1,953.0,6.4,830.0,88.0,986.0,86.0,1521.0,860.0,16.0,56.5,1.0166,1084230000,2004-05-10 23:00:00
0.9,959.0,6.0,812.0,77.0,961.0,78.0,1518.0,910.0,14.2,64.1,1.0346,1084233600,2004-05-11 00:00:00
0.4,834.0,2.8,637.0,36.0,1187.0,53.0,1362.0,699.0,15.0,59.8,1.0142,1084237200,2004-05-11 01:00:00
0.2,787.0,1.6,549.0,28.0,1366.0,43.0,1317.0,596.0,14.3,61.9,1.0031,1084240800,2004-05-11 02:00:00
0.6,866.0,3.6,686.0,55.0,1135.0,48.0,1405.0,741.0,12.0,68.0,0.9547,1084251600,2004-05-11 05:00:00
1.4,1035.0,8.4,917.0,135.0,882.0,64.0,1606.0,968.0,11.3,70.4,0.9443,1084255200,2004-05-11 06:00:00
4.6,1469.0,27.5,1491.0,327.0,555.0,95.0,2301.0,1561.0,12.7,65.6,0.962,1084258800,2004-05-11 07:00:00
4.8,1513.0,26.0,1455.0,366.0,554.0,153.0,2182.0,1822.0,17.5,49.8,0.9877,1084266000,2004-05-11 09:00:00
4.5,1395.0,22.6,1368.0,322.0,605.0,163.0,2032.0,1675.0,21.9,35.2,0.9128,1084269600,2004-05-11 10:00:00
3.0,1209.0,18.3,1248.0,188.0,712.0,119.0,1891.0,1295.0,23.5,29.5,0.8435,1084273200,2004-05-11 11:00:00
2.5,1142.0,13.9,1115.0,144.0,776.0,96.0,1735.0,1091.0,24.3,29.8,0.8926,1084276800,2004-05-11 12:00:00
2.3,1140.0,14.4,1129.0,132.0,765.0,94.0,1728.0,1023.0,23.8,31.7,0.9212,1084280400,2004-05-11 13:00:00
2.0,1105.0,11.6,1035.0,117.0,826.0,86.0,1643.0,877.0,24.2,31.2,0.9257,1084284000,2004-05-11 14:00:00
1.9,1131.0,12.2,1058.0,121.0,824.0,91.0,1664.0,931.0,26.5,27.2,0.9282,1084287600,2004-05-11 15:00:00
1.9,1162.0,12.4,1064.0,124.0,832.0,97.0,1675.0,913.0,25.7,28.4,0.9248,1084291200,2004-05-11 16:00:00
3.5,1336.0,21.1,1326.0,188.0,674.0,125.0,1923.0,1255.0,26.3,27.5,0.9306,1084294800,2004-05-11 17:00:00
4.6,1533.0,29.9,1549.0,226.0,573.0,140.0,2233.0,1571.0,24.4,31.6,0.9545,1084298400,2004-05-11 18:00:00
5.0,1535.0,26.1,1458.0,269.0,568.0,159.0,2120.0,1735.0,21.1,40.2,0.997,1084305600,2004-05-11 20:00:00
3.3,1382.0,18.1,1243.0,183.0,632.0,128.0,1941.0,1511.0,19.2,52.3,1.1516,1084309200,2004-05-11 21:00:00
2.7,1335.0,14.2,1122.0,167.0,673.0,114.0,1840.0,1424.0,18.1,58.7,1.2072,1084312800,2004-05-11 22:00:00
2.2,1267.0,12.4,1064.0,138.0,706.0,100.0,1766.0,1348.0,17.3,58.8,1.1494,1084316400,2004-05-11 23:00:00
1.7,1122.0,8.7,926.0,105.0,805.0,88.0,1619.0,1174.0,16.9,58.8,1.125,1084320000,2004-05-12 00:00:00
0.8,986.0,5.2,771.0,54.0,964.0,67.0,1518.0,947.0,17.6,57.6,1.1484,1084323600,2004-05-12 01:00:00
0.8,966.0,4.6,744.0,58.0,967.0,65.0,1511.0,935.0,15.6,63.9,1.1287,1084327200,2004-05-12 02:00:00
0.8,967.0,4.7,749.0,84.0,996.0,57.0,1517.0,881.0,14.0,68.3,1.0884,1084338000,2004-05-12 05:00:00
1.5,1152.0,9.6,964.0,134.0,800.0,73.0,1705.0,1096.0,14.5,65.7,1.0804,1084341600,2004-05-12 06:00:00
4.1,1500.0,23.6,1393.0,279.0,560.0,95.0,2163.0,1495.0,15.5,62.2,1.0875,1084345200,2004-05-12 07:00:00
5.1,1558.0,26.6,1469.0,336.0,525.0,121.0,2281.0,1758.0,18.8,52.4,1.1285,1084352400,2004-05-12 09:00:00
3.9,1446.0,22.0,1350.0,280.0,568.0,108.0,2140.0,1630.0,19.7,51.9,1.1796,1084356000,2004-05-12 10:00:00
3.4,1349.0,17.9,1236.0,275.0,627.0,125.0,1964.0,1530.0,20.9,44.6,1.0872,1084359600,2004-05-12 11:00:00
3.3,1452.0,22.7,1371.0,207.0,576.0,117.0,2138.0,1622.0,21.9,43.3,1.1265,1084363200,2004-05-12 12:00:00
5.1,1676.0,29.3,1534.0,305.0,496.0,131.0,2413.0,1828.0,20.4,55.7,1.3205,1084366800,2004-05-12 13:00:00
3.1,1327.0,14.7,1139.0,236.0,658.0,126.0,1894.0,1323.0,17.4,67.0,1.325,1084370400,2004-05-12 14:00:00
2.5,1248.0,12.6,1072.0,183.0,713.0,114.0,1797.0,1188.0,17.1,64.0,1.2413,1084374000,2004-05-12 15:00:00
2.4,1250.0,12.7,1074.0,162.0,724.0,123.0,1806.0,1166.0,17.3,61.1,1.1957,1084377600,2004-05-12 16:00:00
2.8,1222.0,13.0,1084.0,157.0,727.0,116.0,1797.0,1108.0,17.7,56.3,1.13,1084381200,2004-05-12 17:00:00
2.9,1159.0,13.4,1097.0,136.0,748.0,107.0,1709.0,995.0,17.4,48.6,0.9559,1084384800,2004-05-12 18:00:00
3.4,1192.0,14.8,1143.0,166.0,740.0,123.0,1767.0,1108.0,17.6,43.7,0.8698,1084388400,2004-05-12 19:00:00
2.2,1074.0,9.4,954.0,136.0,846.0,112.0,1570.0,956.0,16.7,47.2,0.892,1084392000,2004-05-12 20:00:00
1.6,984.0,6.9,851.0,112.0,959.0,101.0,1452.0,817.0,16.8,45.6,0.8636,1084395600,2004-05-12 21:00:00
1.3,970.0,5.2,773.0,87.0,1026.0,91.0,1425.0,658.0,16.1,52.0,0.946,1084399200,2004-05-12 22:00:00
1.3,987.0,5.7,800.0,86.0,989.0,88.0,1462.0,658.0,15.5,57.1,0.996,1084402800,2004-05-12 23:00:00
1.6,1003.0,6.5,836.0,98.0,949.0,96.0,1455.0,748.0,16.2,50.2,0.9156,1084406400,2004-05-13 00:00:00
1.2,933.0,4.7,747.0,62.0,1045.0,75.0,1405.0,569.0,16.4,50.5,0.938,1084410000,2004-05-13 01:00:00
0.6,859.0,2.5,620.0,32.0,1201.0,47.0,1316.0,445.0,16.2,52.8,0.9626,1084413600,2004-05-13 02:00:00
0.4,835.0,1.7,560.0,41.0,1409.0,49.0,1317.0,407.0,16.2,53.7,0.9799,1084424400,2004-05-13 05:00:00
1.0,975.0,4.5,736.0,86.0,1069.0,85.0,1459.0,611.0,15.9,55.3,0.991,1084428000,2004-05-13 06:00:00
2.0,1133.0,9.4,957.0,174.0,815.0,106.0,1652.0,944.0,16.2,55.6,1.0151,1084431600,2004-05-13 07:00:00
3.6,1347.0,17.9,1237.0,264.0,645.0,136.0,1984.0,1328.0,16.0,59.3,1.0711,1084435200,2004-05-13 08:00:00
2.4,1122.0,10.6,1000.0,211.0,783.0,119.0,1663.0,1085.0,16.6,55.6,1.042,1084438800,2004-05-13 09:00:00
2.4,1152.0,11.0,1014.0,208.0,774.0,122.0,1714.0,1139.0,17.4,51.8,1.022,1084442400,2004-05-13 10:00:00
1.6,1020.0,7.2,866.0,139.0,907.0,90.0,1554.0,799.0,17.6,49.7,0.9944,1084446000,2004-05-13 11:00:00
1.9,1066.0,8.7,927.0,138.0,846.0,97.0,1608.0,804.0,17.2,52.8,1.0236,1084449600,2004-05-13 12:00:00
2.4,1105.0,11.1,1016.0,142.0,789.0,98.0,1736.0,930.0,18.2,49.6,1.0268,1084453200,2004-05-13 13:00:00
1.7,1056.0,7.9,894.0,131.0,891.0,93.0,1576.0,771.0,19.5,45.0,1.0114,1084456800,2004-05-13 14:00:00
2.1,1084.0,9.8,970.0,132.0,818.0,98.0,1626.0,845.0,19.5,45.5,1.0189,1084460400,2004-05-13 15:00:00
3.1,1288.0,16.4,1191.0,178.0,691.0,123.0,1910.0,1192.0,19.8,44.3,1.0104,1084464000,2004-05-13 16:00:00
4.6,1390.0,22.6,1368.0,228.0,605.0,148.0,2092.0,1494.0,20.3,43.1,1.0114,1084467600,2004-05-13 17:00:00
4.5,1374.0,20.2,1303.0,232.0,636.0,148.0,2036.0,1457.0,20.3,44.4,1.0457,1084471200,2004-05-13 18:00:00
3.9,1378.0,21.7,1342.0,204.0,612.0,133.0,2076.0,1489.0,19.8,47.9,1.092,1084474800,2004-05-13 19:00:00
4.6,1428.0,21.2,1329.0,250.0,594.0,141.0,2102.0,1602.0,19.1,52.3,1.1486,1084478400,2004-05-13 20:00:00
3.3,1336.0,15.9,1176.0,208.0,656.0,131.0,1891.0,1468.0,18.2,54.7,1.1336,1084482000,2004-05-13 21:00:00
2.7,1234.0,12.0,1049.0,158.0,746.0,121.0,1733.0,1274.0,17.8,55.0,1.1097,1084485600,2004-05-13 22:00:00
3.3,1300.0,17.4,1221.0,197.0,648.0,123.0,1946.0,1401.0,17.5,56.4,1.1175,1084489200,2004-05-13 23:00:00
2.5,1246.0,15.0,1150.0,152.0,654.0,107.0,1873.0,1354.0,17.3,57.8,1.1298,1084492800,2004-05-14 00:00:00
2.1,1141.0,11.1,1017.0,112.0,740.0,104.0,1690.0,1188.0,16.8,57.5,1.0912,1084496400,2004-05-14 01:00:00
1.3,1014.0,6.9,853.0,75.0,883.0,91.0,1538.0,975.0,16.3,57.0,1.0484,1084500000,2004-05-14 02:00:00
1.2,983.0,6.5,833.0,116.0,894.0,102.0,1524.0,1012.0,16.0,58.3,1.0481,1084510800,2004-05-14 05:00:00
1.5,1033.0,8.4,917.0,118.0,882.0,95.0,1617.0,905.0,17.2,52.3,1.0169,1084514400,2004-05-14 06:00:00
3.7,1388.0,22.8,1372.0,272.0,601.0,140.0,2105.0,1449.0,18.5,49.4,1.0397,1084518000,2004-05-14 07:00:00
3.3,1148.0,13.6,1104.0,258.0,723.0,138.0,1713.0,1301.0,21.0,37.9,0.9313,1084525200,2004-05-14 09:00:00
2.5,1095.0,11.1,1019.0,186.0,815.0,113.0,1618.0,1181.0,22.8,32.4,0.887,1084528800,2004-05-14 10:00:00
1.9,987.0,10.0,979.0,130.0,923.0,101.0,1515.0,962.0,25.5,25.6,0.8218,1084532400,2004-05-14 11:00:00
2.0,984.0,10.5,998.0,134.0,905.0,97.0,1523.0,862.0,25.9,23.6,0.7771,1084536000,2004-05-14 12:00:00
2.5,1072.0,13.0,1084.0,148.0,843.0,114.0,1622.0,1017.0,27.7,20.8,0.7599,1084539600,2004-05-14 13:00:00
2.1,1048.0,12.5,1068.0,147.0,869.0,110.0,1573.0,993.0,27.1,21.6,0.7618,1084543200,2004-05-14 14:00:00
2.1,1042.0,11.4,1029.0,123.0,907.0,103.0,1540.0,879.0,28.4,20.2,0.7697,1084546800,2004-05-14 15:00:00
2.3,1113.0,13.1,1086.0,138.0,882.0,119.0,1584.0,926.0,28.1,21.9,0.8184,1084550400,2004-05-14 16:00:00
3.0,1146.0,14.9,1145.0,162.0,836.0,126.0,1647.0,1011.0,27.6,22.3,0.8116,1084554000,2004-05-14 17:00:00
4.1,1239.0,19.1,1272.0,214.0,748.0,144.0,1790.0,1380.0,25.2,24.3,0.7671,1084557600,2004-05-14 18:00:00
4.5,1302.0,21.8,1346.0,230.0,706.0,164.0,1880.0,1698.0,24.6,25.1,0.7636,1084561200,2004-05-14 19:00:00
3.5,1181.0,16.1,1183.0,191.0,792.0,148.0,1711.0,1432.0,23.1,27.2,0.7575,1084564800,2004-05-14 20:00:00
2.1,1068.0,11.6,1037.0,128.0,869.0,119.0,1567.0,1217.0,22.0,28.6,0.7483,1084568400,2004-05-14 21:00:00
2.3,1135.0,12.4,1065.0,138.0,803.0,111.0,1630.0,1317.0,20.8,34.5,0.8365,1084572000,2004-05-14 22:00:00
1.9,1121.0,10.4,992.0,126.0,844.0,115.0,1505.0,1255.0,20.4,35.3,0.8352,1084575600,2004-05-14 23:00:00
1.9,1131.0,9.7,965.0,107.0,843.0,103.0,1520.0,1223.0,19.1,38.3,0.8381,1084579200,2004-05-15 00:00:00
1.2,947.0,5.7,798.0,67.0,964.0,81.0,1395.0,930.0,18.0,40.5,0.8271,1084582800,2004-05-15 01:00:00
1.0,935.0,5.4,786.0,55.0,964.0,71.0,1389.0,954.0,17.4,43.4,0.8553,1084586400,2004-05-15 02:00:00
0.5,839.0,2.8,638.0,33.0,1171.0,44.0,1271.0,643.0,15.7,46.9,0.8329,1084597200,2004-05-15 05:00:00
0.6,873.0,3.9,704.0,41.0,1091.0,49.0,1322.0,756.0,15.3,49.7,0.8552,1084600800,2004-05-15 06:00:00
1.4,1065.0,9.1,942.0,106.0,890.0,68.0,1576.0,1067.0,16.0,47.4,0.8564,1084604400,2004-05-15 07:00:00
2.6,1187.0,13.6,1104.0,208.0,727.0,108.0,1721.0,1391.0,17.6,43.3,0.8647,1084608000,2004-05-15 08:00:00
2.8,1249.0,15.8,1174.0,193.0,712.0,117.0,1774.0,1486.0,20.3,37.4,0.8807,1084611600,2004-05-15 09:00:00
2.6,1157.0,12.7,1072.0,191.0,802.0,127.0,1653.0,1327.0,23.1,30.3,0.8425,1084615200,2004-05-15 10:00:00
1.6,988.0,8.6,924.0,113.0,1015.0,93.0,1463.0,835.0,25.0,24.2,0.7568,1084618800,2004-05-15 11:00:00
1.7,1025.0,9.4,955.0,111.0,997.0,94.0,1457.0,834.0,25.6,23.5,0.7611,1084622400,2004-05-15 12:00:00
1.7,997.0,9.2,947.0,106.0,998.0,87.0,1460.0,815.0,25.5,22.6,0.7288,1084626000,2004-05-15 13:00:00
1.3,916.0,6.4,829.0,82.0,1124.0,75.0,1333.0,621.0,26.1,21.1,0.7023,1084629600,2004-05-15 14:00:00
1.4,965.0,8.3,910.0,79.0,1056.0,81.0,1389.0,643.0,28.2,19.4,0.7303,1084633200,2004-05-15 15:00:00
1.4,985.0,8.1,903.0,90.0,1059.0,86.0,1437.0,712.0,27.4,20.5,0.7379,1084636800,2004-05-15 16:00:00
1.7,1026.0,8.5,920.0,104.0,1037.0,97.0,1455.0,746.0,26.0,22.7,0.7532,1084640400,2004-05-15 17:00:00
2.3,1125.0,11.0,1016.0,148.0,910.0,117.0,1564.0,991.0,23.8,27.1,0.7858,1084644000,2004-05-15 18:00:00
2.5,1159.0,12.1,1054.0,158.0,878.0,120.0,1603.0,1046.0,23.0,28.7,0.7976,1084647600,2004-05-15 19:00:00
3.3,1284.0,15.0,1149.0,234.0,780.0,149.0,1725.0,1304.0,21.7,31.8,0.8191,1084651200,2004-05-15 20:00:00
2.2,1101.0,10.2,986.0,163.0,852.0,124.0,1574.0,1100.0,20.9,33.2,0.8098,1084654800,2004-05-15 21:00:00
1.6,1101.0,9.9,972.0,95.0,879.0,97.0,1552.0,1001.0,20.2,34.3,0.8017,1084658400,2004-05-15 22:00:00
2.6,1183.0,12.0,1049.0,146.0,762.0,112.0,1594.0,1290.0,19.6,37.0,0.8325,1084662000,2004-05-15 23:00:00
2.3,1132.0,10.5,996.0,102.0,822.0,95.0,1564.0,1205.0,18.1,40.9,0.8441,1084665600,2004-05-16 00:00:00
1.5,998.0,7.1,859.0,90.0,919.0,88.0,1450.0,1045.0,17.0,43.3,0.8341,1084669200,2004-05-16 01:00:00
0.9,911.0,4.6,743.0,41.0,1052.0,54.0,1370.0,739.0,16.7,43.4,0.8193,1084672800,2004-05-16 02:00:00
0.4,792.0,2.2,599.0,32.0,1262.0,45.0,1235.0,564.0,13.5,50.1,0.7706,1084683600,2004-05-16 05:00:00
0.4,822.0,2.0,581.0,34.0,1326.0,47.0,1256.0,602.0,14.2,49.9,0.8025,1084687200,2004-05-16 06:00:00
0.8,918.0,4.2,721.0,57.0,1069.0,58.0,1353.0,785.0,13.8,51.4,0.8059,1084690800,2004-05-16 07:00:00
0.9,975.0,5.2,774.0,73.0,1001.0,69.0,1393.0,878.0,16.3,45.1,0.8286,1084694400,2004-05-16 08:00:00
1.6,1047.0,8.2,908.0,119.0,913.0,89.0,1458.0,981.0,19.2,35.4,0.7812,1084698000,2004-05-16 09:00:00
2.0,1053.0,9.8,970.0,138.0,930.0,105.0,1473.0,991.0,25.5,21.1,0.677,1084701600,2004-05-16 10:00:00
1.6,1017.0,7.9,897.0,96.0,1013.0,92.0,1400.0,780.0,28.2,19.0,0.7164,1084705200,2004-05-16 11:00:00
1.4,1021.0,7.7,889.0,80.0,1022.0,82.0,1405.0,684.0,29.5,19.8,0.8013,1084708800,2004-05-16 12:00:00
0.9,941.0,4.8,753.0,45.0,1173.0,56.0,1311.0,468.0,30.6,19.4,0.8348,1084712400,2004-05-16 13:00:00
0.9,991.0,5.3,776.0,45.0,1122.0,60.0,1375.0,468.0,29.9,22.0,0.9181,1084716000,2004-05-16 14:00:00
1.2,1117.0,7.1,862.0,54.0,995.0,64.0,1476.0,530.0,31.5,21.9,0.997,1084719600,2004-05-16 15:00:00
1.4,1217.0,9.2,947.0,66.0,887.0,85.0,1566.0,648.0,31.2,24.6,1.0987,1084723200,2004-05-16 16:00:00
1.9,1248.0,10.1,982.0,95.0,880.0,107.0,1617.0,746.0,30.4,26.5,1.1347,1084726800,2004-05-16 17:00:00
1.8,1242.0,9.9,973.0,99.0,856.0,106.0,1632.0,819.0,26.8,33.5,1.1602,1084730400,2004-05-16 18:00:00
2.7,1403.0,15.1,1151.0,147.0,747.0,125.0,1820.0,1125.0,25.5,37.4,1.1995,1084734000,2004-05-16 19:00:00
2.4,1238.0,10.6,999.0,129.0,833.0,118.0,1648.0,1013.0,23.7,39.4,1.1381,1084737600,2004-05-16 20:00:00
1.6,1093.0,7.0,858.0,96.0,975.0,95.0,1495.0,816.0,22.9,37.0,1.0197,1084741200,2004-05-16 21:00:00
1.4,1034.0,5.9,805.0,92.0,1030.0,97.0,1416.0,750.0,20.8,36.3,0.8775,1084744800,2004-05-16 22:00:00
1.4,934.0,5.6,795.0,88.0,1098.0,93.0,1328.0,673.0,20.3,28.5,0.6686,1084748400,2004-05-16 23:00:00
1.4,913.0,5.4,785.0,89.0,1110.0,85.0,1273.0,692.0,19.6,26.5,0.5974,1084752000,2004-05-17 00:00:00
0.9,835.0,3.7,691.0,52.0,1265.0,67.0,1182.0,517.0,19.1,25.9,0.5673,1084755600,2004-05-17 01:00:00
0.5,773.0,1.8,568.0,25.0,1474.0,37.0,1113.0,392.0,18.4,27.6,0.5799,1084759200,2004-05-17 02:00:00
0.5,930.0,3.5,684.0,65.0,1059.0,75.0,1220.0,779.0,15.8,36.5,0.6535,1084770000,2004-05-17 05:00:00
1.3,1009.0,7.0,859.0,132.0,944.0,102.0,1420.0,1016.0,16.0,38.1,0.6879,1084773600,2004-05-17 06:00:00
2.6,1196.0,14.4,1131.0,216.0,775.0,113.0,1675.0,1243.0,17.6,35.0,0.6965,1084777200,2004-05-17 07:00:00
2.0,1010.0,8.9,937.0,180.0,945.0,142.0,1444.0,949.0,18.5,31.2,0.6611,1084780800,2004-05-17 08:00:00
1.8,990.0,8.6,924.0,140.0,974.0,90.0,1404.0,861.0,19.8,28.5,0.652,1084784400,2004-05-17 09:00:00
1.7,988.0,8.5,918.0,141.0,1007.0,94.0,1393.0,850.0,22.3,24.1,0.6394,1084788000,2004-05-17 10:00:00
1.5,979.0,8.3,910.0,123.0,1028.0,92.0,1396.0,788.0,24.2,21.7,0.6451,1084791600,2004-05-17 11:00:00
1.9,1029.0,10.1,983.0,129.0,950.0,97.0,1470.0,879.0,25.1,20.8,0.6516,1084795200,2004-05-17 12:00:00
1.7,984.0,9.1,945.0,115.0,990.0,88.0,1423.0,747.0,25.8,19.5,0.6392,1084798800,2004-05-17 13:00:00
1.5,985.0,8.5,919.0,104.0,1028.0,86.0,1387.0,700.0,26.3,18.9,0.6344,1084802400,2004-05-17 14:00:00
1.7,981.0,7.7,886.0,129.0,1054.0,99.0,1363.0,695.0,25.8,18.6,0.608,1084806000,2004-05-17 15:00:00
1.7,1020.0,9.0,941.0,138.0,1016.0,95.0,1425.0,756.0,25.7,19.4,0.6304,1084809600,2004-05-17 16:00:00
2.4,1106.0,13.4,1097.0,135.0,902.0,105.0,1552.0,941.0,26.7,17.1,0.5909,1084813200,2004-05-17 17:00:00
3.1,1153.0,15.6,1168.0,163.0,842.0,121.0,1644.0,1021.0,24.3,19.8,0.5933,1084816800,2004-05-17 18:00:00
3.4,1215.0,17.8,1234.0,180.0,796.0,125.0,1735.0,1167.0,23.5,20.8,0.5937,1084820400,2004-05-17 19:00:00
3.0,1094.0,12.7,1072.0,170.0,888.0,122.0,1545.0,1105.0,22.0,24.0,0.6263,1084824000,2004-05-17 20:00:00
1.2,944.0,6.4,832.0,72.0,1072.0,81.0,1350.0,712.0,21.1,26.2,0.6481,1084827600,2004-05-17 21:00:00
1.2,964.0,7.1,861.0,69.0,1014.0,73.0,1398.0,735.0,20.9,28.8,0.7014,1084831200,2004-05-17 22:00:00
1.3,1003.0,7.4,872.0,79.0,988.0,80.0,1439.0,851.0,20.2,31.2,0.7304,1084834800,2004-05-17 23:00:00
1.0,914.0,5.2,774.0,53.0,1091.0,65.0,1323.0,706.0,20.0,31.5,0.7262,1084838400,2004-05-18 00:00:00
0.4,839.0,2.4,609.0,36.0,1276.0,59.0,1286.0,643.0,20.8,32.3,0.7813,1084842000,2004-05-18 01:00:00
0.3,830.0,2.0,582.0,30.0,1310.0,50.0,1264.0,608.0,20.0,34.5,0.7954,1084845600,2004-05-18 02:00:00
0.5,903.0,3.1,656.0,38.0,1155.0,37.0,1361.0,618.0,17.0,44.6,0.8593,1084856400,2004-05-18 05:00:00
0.9,1022.0,6.3,825.0,68.0,931.0,54.0,1487.0,931.0,17.1,45.3,0.8784,1084860000,2004-05-18 06:00:00
2.7,1378.0,19.3,1277.0,192.0,628.0,94.0,1970.0,1519.0,17.1,46.5,0.901,1084863600,2004-05-18 07:00:00
3.2,1326.0,14.6,1137.0,225.0,719.0,115.0,1760.0,1550.0,20.3,38.1,0.8946,1084870800,2004-05-18 09:00:00
2.4,1215.0,12.3,1062.0,199.0,794.0,119.0,1650.0,1381.0,25.3,27.0,0.8565,1084874400,2004-05-18 10:00:00
1.9,1138.0,11.0,1015.0,140.0,854.0,103.0,1604.0,1115.0,27.4,22.8,0.8219,1084878000,2004-05-18 11:00:00
2.7,1244.0,15.4,1162.0,162.0,765.0,123.0,1735.0,1189.0,30.0,20.0,0.8338,1084881600,2004-05-18 12:00:00
2.9,1261.0,17.0,1210.0,173.0,736.0,126.0,1769.0,1200.0,30.9,19.1,0.8394,1084885200,2004-05-18 13:00:00
2.0,1182.0,12.5,1066.0,121.0,818.0,106.0,1663.0,965.0,30.6,20.2,0.8719,1084888800,2004-05-18 14:00:00
2.3,1208.0,13.8,1111.0,133.0,783.0,127.0,1653.0,1018.0,32.2,18.9,0.8964,1084892400,2004-05-18 15:00:00
1.9,1158.0,10.1,981.0,96.0,862.0,105.0,1573.0,775.0,31.7,19.5,0.8981,1084896000,2004-05-18 16:00:00
3.0,1346.0,19.3,1278.0,141.0,701.0,130.0,1873.0,1193.0,30.9,20.5,0.8996,1084899600,2004-05-18 17:00:00
4.4,1443.0,22.7,1371.0,221.0,664.0,160.0,1988.0,1425.0,27.5,24.7,0.8899,1084903200,2004-05-18 18:00:00
4.7,1440.0,25.5,1443.0,232.0,635.0,162.0,2068.0,1594.0,25.8,27.0,0.8821,1084906800,2004-05-18 19:00:00
3.4,1232.0,15.8,1173.0,174.0,751.0,135.0,1750.0,1284.0,23.7,30.0,0.8633,1084910400,2004-05-18 20:00:00
2.4,1159.0,12.3,1061.0,138.0,812.0,122.0,1648.0,1174.0,22.2,33.4,0.8806,1084914000,2004-05-18 21:00:00
1.2,1081.0,8.7,929.0,65.0,910.0,75.0,1518.0,937.0,21.1,36.5,0.9019,1084917600,2004-05-18 22:00:00
1.7,1083.0,8.3,911.0,107.0,883.0,96.0,1507.0,985.0,20.2,38.6,0.9016,1084921200,2004-05-18 23:00:00
1.2,1069.0,7.7,887.0,70.0,859.0,84.0,1542.0,1041.0,19.3,43.0,0.9535,1084924800,2004-05-19 00:00:00
0.7,940.0,4.2,724.0,44.0,1012.0,68.0,1407.0,867.0,19.2,43.6,0.9591,1084928400,2004-05-19 01:00:00
0.5,901.0,3.0,653.0,41.0,1094.0,65.0,1367.0,822.0,18.4,45.7,0.9599,1084932000,2004-05-19 02:00:00
0.3,848.0,2.2,598.0,32.0,1219.0,46.0,1318.0,628.0,17.0,49.2,0.9459,1084942800,2004-05-19 05:00:00
0.7,980.0,5.7,800.0,46.0,983.0,54.0,1462.0,810.0,16.4,52.1,0.9612,1084946400,2004-05-19 06:00:00
3.1,1408.0,20.9,1321.0,173.0,618.0,94.0,2044.0,1495.0,16.4,53.4,0.9863,1084950000,2004-05-19 07:00:00
4.6,1475.0,22.0,1351.0,294.0,625.0,165.0,2006.0,1696.0,21.0,41.1,1.0104,1084957200,2004-05-19 09:00:00
2.6,1262.0,13.4,1096.0,182.0,772.0,134.0,1711.0,1340.0,26.4,28.9,0.9785,1084960800,2004-05-19 10:00:00
2.1,1156.0,11.5,1034.0,154.0,813.0,122.0,1640.0,1123.0,27.7,26.3,0.9652,1084964400,2004-05-19 11:00:00
2.0,1192.0,13.4,1097.0,118.0,796.0,113.0,1688.0,971.0,30.1,22.1,0.9281,1084968000,2004-05-19 12:00:00
2.2,1233.0,15.2,1154.0,116.0,746.0,115.0,1740.0,1000.0,31.0,22.9,1.0144,1084971600,2004-05-19 13:00:00
2.1,1208.0,13.0,1083.0,121.0,792.0,118.0,1702.0,891.0,31.0,22.6,1.0012,1084975200,2004-05-19 14:00:00
