,datetimestamp,T,RH,AH,PT08.S1(CO),PT08.S2(NMHC),PT08.S3(NOx),PT08.S4(NO2),PT08.S5(O3),CO(GT)
1803,1087934400,27.4,33.6,1.2095,1166.0,1304.0,646.0,2016.0,1291.0,4.0
1804,1087938000,25.2,36.4,1.1528,959.0,949.0,857.0,1640.0,949.0,1.8
1805,1087941600,24.0,39.6,1.1662,1004.0,997.0,813.0,1726.0,1018.0,1.7
1806,1087945200,23.8,39.6,1.1558,1050.0,1105.0,729.0,1807.0,1122.0,2.4
1807,1087948800,22.9,43.6,1.1974,965.0,900.0,864.0,1631.0,968.0,1.2
1808,1087952400,22.8,43.9,1.202,849.0,744.0,1004.0,1496.0,806.0,0.8
1809,1087956000,21.8,47.3,1.2189,809.0,666.0,1093.0,1455.0,714.0,0.5
1810,1087966800,21.7,46.8,1.2031,768.0,597.0,1155.0,1396.0,606.0,0.4
1811,1087970400,20.3,52.3,1.2367,917.0,842.0,934.0,1656.0,819.0,1.0
1812,1087974000,20.5,52.3,1.245,1252.0,1380.0,579.0,2210.0,1462.0,3.8
1813,1087977600,21.7,49.6,1.2673,1224.0,1268.0,605.0,2046.0,1478.0,3.2
1814,1087981200,24.0,43.1,1.2677,1277.0,1300.0,608.0,2090.0,1598.0,3.5
1815,1087984800,28.5,31.7,1.2144,1149.0,1192.0,672.0,1944.0,1449.0,3.2
1816,1087988400,32.2,25.1,1.189,1091.0,1082.0,746.0,1790.0,1221.0,2.3
1817,1087992000,34.9,20.5,1.1279,1053.0,1087.0,763.0,1762.0,1023.0,2.2
1818,1087995600,35.4,19.9,1.1222,1023.0,1042.0,796.0,1711.0,910.0,2.1
1819,1087999200,34.4,22.5,1.205,1085.0,1075.0,767.0,1786.0,913.0,1.9
1820,1088002800,34.8,22.8,1.2488,1116.0,1120.0,724.0,1854.0,1035.0,2.4
1821,1088006400,34.3,22.4,1.1907,1111.0,1131.0,735.0,1825.0,1085.0,2.5
1822,1088010000,32.5,25.3,1.2165,1210.0,1316.0,645.0,2030.0,1278.0,3.6
1823,1088013600,31.3,27.3,1.2234,1250.0,1339.0,616.0,2075.0,1383.0,3.9
1824,1088017200,30.2,29.0,1.2224,1297.0,1408.0,595.0,2134.0,1473.0,4.4
1825,1088020800,28.5,33.3,1.2775,1313.0,1345.0,603.0,2118.0,1507.0,4.8
1826,1088024400,27.3,35.3,1.2606,1146.0,1084.0,713.0,1829.0,1215.0,2.5
1827,1088028000,26.1,37.8,1.2575,1199.0,1152.0,685.0,1897.0,1242.0,2.8
1828,1088031600,24.7,47.1,1.44,1274.0,1197.0,626.0,2023.0,1356.0,3.2
1829,1088035200,23.6,59.8,1.7193,1243.0,1072.0,675.0,1978.0,1195.0,2.6
1830,1088038800,23.3,60.5,1.706,1054.0,923.0,783.0,1793.0,899.0,1.5
1831,1088042400,23.3,59.4,1.6753,962.0,778.0,929.0,1645.0,726.0,1.0
1832,1088049600,23.7,53.5,1.546,871.0,639.0,1062.0,1528.0,684.0,0.6
1833,1088053200,21.2,60.9,1.5092,877.0,658.0,1047.0,1530.0,779.0,0.6
1834,1088056800,22.1,56.2,1.48,893.0,696.0,1008.0,1548.0,801.0,0.7
1835,1088060400,21.9,57.0,1.4742,1030.0,851.0,824.0,1700.0,983.0,1.2
1836,1088064000,24.7,45.9,1.4061,1059.0,926.0,783.0,1750.0,989.0,1.5
1837,1088067600,27.0,40.8,1.4286,1020.0,860.0,864.0,1649.0,875.0,1.3
1838,1088071200,29.1,37.4,1.4833,1045.0,840.0,879.0,1656.0,807.0,1.6
1839,1088074800,31.1,32.4,1.4351,1029.0,866.0,874.0,1651.0,727.0,1.5
1840,1088078400,31.9,30.3,1.4125,959.0,763.0,976.0,1561.0,549.0,1.2
1841,1088082000,32.8,28.9,1.412,975.0,798.0,939.0,1576.0,570.0,1.1
1842,1088085600,33.4,27.8,1.4119,988.0,813.0,927.0,1596.0,596.0,1.2
1843,1088089200,35.3,23.7,1.3331,971.0,818.0,942.0,1565.0,585.0,1.3
1844,1088092800,35.8,22.4,1.2915,999.0,899.0,869.0,1629.0,637.0,1.4
1845,1088096400,35.3,20.8,1.1664,989.0,889.0,889.0,1602.0,664.0,1.6
1846,1088100000,33.3,23.9,1.2085,1075.0,1020.0,802.0,1732.0,797.0,2.1
1847,1088103600,30.3,30.8,1.3044,1190.0,1177.0,695.0,1934.0,1046.0,3.0
1848,1088107200,28.3,34.5,1.3084,1172.0,1108.0,706.0,1878.0,1058.0,2.8
1849,1088110800,27.1,38.9,1.3758,1256.0,1340.0,594.0,2176.0,1214.0,3.8
1850,1088114400,25.4,43.2,1.3805,1190.0,1203.0,658.0,1967.0,1056.0,3.2
1851,1088118000,24.6,45.3,1.3767,1249.0,1310.0,601.0,2114.0,1280.0,4.1
1852,1088121600,23.7,46.0,1.3346,1072.0,1120.0,711.0,1838.0,1045.0,2.6
1853,1088125200,23.0,48.1,1.3322,1035.0,1011.0,750.0,1752.0,1039.0,2.0
1854,1088128800,24.8,43.4,1.3366,839.0,690.0,1030.0,1457.0,640.0,0.9
1855,1088136000,21.7,50.2,1.2917,804.0,616.0,1144.0,1427.0,662.0,0.6
1856,1088139600,21.9,50.7,1.3138,811.0,651.0,1097.0,1442.0,579.0,0.6
1857,1088143200,20.1,57.0,1.3216,1028.0,934.0,818.0,1743.0,987.0,1.6
1858,1088146800,21.5,51.8,1.3129,1138.0,1141.0,671.0,1927.0,1197.0,2.6
1859,1088150400,22.9,48.7,1.3416,1203.0,1185.0,649.0,1968.0,1328.0,2.9
1860,1088154000,25.7,41.0,1.3351,1193.0,1136.0,667.0,1924.0,1370.0,2.8
1861,1088157600,29.9,33.2,1.3793,1049.0,898.0,858.0,1671.0,921.0,1.9
1862,1088161200,32.9,28.0,1.3789,1090.0,942.0,828.0,1713.0,876.0,1.9
1863,1088164800,34.0,25.6,1.3363,1070.0,976.0,808.0,1688.0,819.0,2.1
1864,1088168400,34.7,22.6,1.2297,1014.0,970.0,826.0,1684.0,763.0,1.9
1865,1088172000,35.5,20.3,1.1586,972.0,912.0,882.0,1596.0,675.0,1.6
1866,1088175600,35.9,18.8,1.0912,951.0,880.0,920.0,1539.0,637.0,1.6
1867,1088179200,36.2,18.6,1.0945,1033.0,1038.0,802.0,1690.0,826.0,2.1
1868,1088182800,35.4,15.3,0.8613,983.0,1094.0,817.0,1659.0,854.0,2.4
1869,1088186400,32.9,15.5,0.7649,973.0,1128.0,813.0,1642.0,894.0,2.8
1870,1088190000,29.9,19.8,0.8211,1083.0,1237.0,737.0,1786.0,1077.0,3.4
1871,1088193600,28.1,22.4,0.8394,1062.0,1176.0,763.0,1743.0,1121.0,3.4
1872,1088197200,26.1,24.7,0.8233,1011.0,1122.0,808.0,1680.0,1071.0,2.7
1873,1088200800,25.0,28.7,0.8944,1054.0,1110.0,765.0,1670.0,1167.0,2.6
1874,1088204400,24.3,31.0,0.9268,1013.0,1038.0,793.0,1598.0,1162.0,2.3
1875,1088208000,24.0,31.2,0.919,870.0,823.0,975.0,1398.0,848.0,1.2
1876,1088211600,22.4,34.9,0.9362,857.0,769.0,1006.0,1390.0,759.0,1.0
1877,1088215200,21.2,37.6,0.9355,835.0,739.0,1036.0,1382.0,694.0,0.9
1878,1088226000,19.5,42.4,0.9515,769.0,606.0,1171.0,1314.0,610.0,0.4
1879,1088229600,18.6,45.8,0.9723,891.0,790.0,960.0,1466.0,816.0,0.9
1880,1088233200,19.7,44.1,1.0039,1037.0,993.0,779.0,1680.0,1158.0,1.8
1881,1088236800,21.9,39.4,1.0243,1090.0,1065.0,728.0,1773.0,1228.0,2.2
1882,1088240400,24.5,34.3,1.0407,1117.0,1118.0,716.0,1791.0,1323.0,2.4
1883,1088244000,30.0,25.6,1.0674,1109.0,1074.0,761.0,1734.0,1274.0,2.3
1884,1088247600,34.5,18.9,1.0168,961.0,939.0,912.0,1508.0,846.0,1.6
1885,1088251200,36.3,17.5,1.0411,985.0,919.0,918.0,1540.0,737.0,1.4
1886,1088254800,37.7,16.0,1.0231,960.0,909.0,910.0,1523.0,675.0,1.4
1887,1088258400,38.3,15.8,1.0465,927.0,806.0,1013.0,1446.0,559.0,1.0
1888,1088262000,38.4,17.5,1.1609,958.0,795.0,1002.0,1481.0,604.0,1.0
1889,1088265600,37.2,20.5,1.2813,1019.0,842.0,935.0,1565.0,729.0,1.2
1890,1088269200,34.0,26.4,1.3781,1010.0,816.0,955.0,1567.0,741.0,1.3
1891,1088272800,32.3,30.4,1.445,1030.0,844.0,917.0,1599.0,747.0,1.5
1892,1088276400,30.5,33.9,1.4564,1100.0,946.0,827.0,1726.0,932.0,1.9
1893,1088280000,29.2,37.8,1.5098,1079.0,909.0,861.0,1686.0,928.0,1.8
1894,1088283600,28.4,39.1,1.4881,1036.0,859.0,900.0,1645.0,860.0,1.4
1895,1088287200,27.7,40.6,1.4828,1085.0,959.0,827.0,1747.0,963.0,1.7
1896,1088290800,27.2,42.5,1.5069,1214.0,1151.0,683.0,1938.0,1309.0,2.7
1897,1088294400,26.5,44.8,1.528,1127.0,1041.0,728.0,1830.0,1266.0,2.1
1898,1088298000,25.5,47.6,1.5318,1038.0,950.0,776.0,1750.0,1181.0,1.4
1899,1088301600,25.2,47.8,1.5076,948.0,829.0,873.0,1638.0,937.0,1.0
1900,1088308800,23.2,52.3,1.4668,869.0,723.0,975.0,1522.0,789.0,0.8
1901,1088312400,24.0,50.3,1.4811,809.0,628.0,1127.0,1490.0,682.0,0.5
1902,1088316000,23.5,51.2,1.4634,833.0,641.0,1088.0,1496.0,717.0,0.6
1903,1088319600,23.5,50.8,1.452,857.0,661.0,1083.0,1511.0,696.0,0.6
1904,1088323200,24.7,47.6,1.4597,966.0,820.0,913.0,1634.0,807.0,1.0
1905,1088326800,27.2,41.1,1.4611,1063.0,894.0,823.0,1688.0,1025.0,1.6
1906,1088330400,31.0,32.4,1.4294,1110.0,996.0,782.0,1771.0,1090.0,1.9
1907,1088334000,35.2,24.8,1.3854,1055.0,941.0,844.0,1648.0,932.0,1.7
1908,1088337600,37.8,18.5,1.1977,939.0,828.0,991.0,1486.0,639.0,1.1
1909,1088341200,39.0,15.1,1.0424,816.0,684.0,1195.0,1285.0,467.0,0.8
1910,1088344800,41.3,12.8,0.9933,841.0,712.0,1175.0,1339.0,476.0,0.7
1911,1088348400,41.8,11.9,0.9476,842.0,722.0,1163.0,1294.0,490.0,0.7
1912,1088352000,42.2,14.2,1.1609,990.0,852.0,967.0,1488.0,669.0,1.2
1913,1088355600,41.4,15.5,1.2089,1042.0,894.0,916.0,1537.0,800.0,1.6
1914,1088359200,38.9,21.4,1.4605,1089.0,893.0,879.0,1609.0,791.0,1.6
1915,1088362800,34.3,26.0,1.3865,1102.0,990.0,799.0,1685.0,849.0,1.7
1916,1088366400,32.7,27.7,1.3439,1095.0,996.0,799.0,1695.0,934.0,2.0
1917,1088370000,30.5,30.4,1.3031,1116.0,1075.0,761.0,1784.0,1081.0,2.3
1918,1088373600,29.0,33.6,1.3277,1105.0,1046.0,777.0,1751.0,1102.0,2.4
1919,1088377200,28.2,36.6,1.3781,1018.0,950.0,830.0,1636.0,914.0,1.7
1920,1088380800,27.2,38.9,1.3821,991.0,896.0,857.0,1616.0,926.0,1.2
1921,1088384400,26.7,40.0,1.3754,923.0,765.0,952.0,1508.0,786.0,1.0
1922,1088388000,26.0,41.2,1.3598,874.0,679.0,1049.0,1444.0,619.0,0.6
1923,1088395200,24.0,46.6,1.37,838.0,632.0,1079.0,1438.0,634.0,0.4
1924,1088398800,24.0,46.4,1.3689,827.0,656.0,1075.0,1447.0,722.0,0.5
1925,1088402400,23.7,47.1,1.3602,901.0,763.0,984.0,1552.0,717.0,0.7
1926,1088406000,23.6,47.3,1.3634,1291.0,1316.0,603.0,2172.0,1445.0,3.2
1927,1088413200,28.5,36.8,1.4128,1363.0,1410.0,565.0,2199.0,1791.0,4.6
1928,1088416800,32.6,28.0,1.3566,1218.0,1198.0,671.0,1907.0,1413.0,3.3
1929,1088420400,36.3,23.4,1.3902,1132.0,1091.0,751.0,1795.0,1092.0,2.1
1930,1088424000,37.5,21.5,1.3673,1103.0,1060.0,770.0,1748.0,940.0,1.9
1931,1088427600,39.6,19.0,1.3447,1081.0,1053.0,770.0,1773.0,883.0,1.9
1932,1088431200,40.1,19.3,1.4013,1079.0,1018.0,793.0,1739.0,850.0,1.6
1933,1088434800,40.4,20.0,1.4854,1167.0,1087.0,741.0,1820.0,928.0,2.0
1934,1088438400,39.9,20.1,1.4495,1148.0,1037.0,772.0,1720.0,835.0,1.8
1935,1088442000,39.1,19.6,1.3542,1221.0,1230.0,670.0,1905.0,1157.0,2.9
1936,1088445600,37.0,21.9,1.3503,1255.0,1283.0,640.0,2023.0,1232.0,3.4
1937,1088449200,33.9,26.8,1.3899,1245.0,1287.0,635.0,2067.0,1288.0,3.1
1938,1088452800,31.9,30.6,1.4201,1162.0,1151.0,687.0,1912.0,1143.0,2.5
1939,1088456400,29.7,33.9,1.3874,1079.0,1020.0,754.0,1760.0,1014.0,1.8
1940,1088460000,28.6,36.8,1.416,1091.0,1038.0,744.0,1786.0,1088.0,1.8
1941,1088463600,27.8,38.7,1.4187,1085.0,1039.0,745.0,1790.0,1092.0,2.0
1942,1088467200,27.8,40.0,1.4691,1050.0,966.0,780.0,1748.0,1090.0,1.5
1943,1088470800,27.5,41.3,1.4962,941.0,814.0,873.0,1592.0,979.0,0.8
1944,1088474400,27.3,41.6,1.4906,891.0,705.0,980.0,1534.0,806.0,0.4
1945,1088485200,25.9,45.1,1.4889,863.0,652.0,1055.0,1504.0,816.0,0.5
1946,1088488800,25.3,47.6,1.5108,956.0,784.0,928.0,1634.0,934.0,0.7
1947,1088492400,24.7,49.5,1.5201,1384.0,1391.0,552.0,2316.0,1548.0,3.4
1948,1088499600,28.3,39.8,1.5053,1219.0,1163.0,642.0,1963.0,1410.0,3.2
1949,1088503200,32.4,32.3,1.5484,1237.0,1157.0,663.0,1968.0,1334.0,2.7
1950,1088506800,35.4,27.8,1.5733,1181.0,1078.0,706.0,1870.0,1140.0,2.1
1951,1088510400,35.5,27.4,1.5635,1251.0,1154.0,682.0,1955.0,1111.0,2.8
1952,1088514000,37.8,24.4,1.5722,1214.0,1170.0,681.0,1963.0,1054.0,2.5
1953,1088517600,37.2,25.5,1.5914,1166.0,1062.0,726.0,1825.0,924.0,2.1
1954,1088521200,37.2,25.6,1.6014,1226.0,1157.0,683.0,1912.0,1041.0,2.5
1955,1088524800,38.0,25.0,1.6312,1265.0,1229.0,636.0,2040.0,1282.0,2.7
1956,1088528400,37.1,26.9,1.6635,1317.0,1338.0,593.0,2132.0,1362.0,3.7
1957,1088532000,36.9,27.8,1.7099,1372.0,1382.0,568.0,2268.0,1441.0,3.7
1958,1088535600,34.7,31.9,1.7325,1443.0,1443.0,543.0,2332.0,1559.0,4.6
1959,1088539200,31.9,38.4,1.7897,1200.0,1126.0,664.0,1979.0,1198.0,2.6
1960,1088542800,30.5,42.3,1.8173,1216.0,1130.0,655.0,1994.0,1246.0,2.5
1961,1088546400,29.3,45.8,1.8362,1160.0,1070.0,687.0,1929.0,1192.0,2.3
1962,1088550000,28.2,48.1,1.8144,1194.0,1106.0,667.0,1985.0,1194.0,2.2
1963,1088553600,27.3,51.0,1.8287,1199.0,1087.0,658.0,1954.0,1252.0,2.5
1964,1088557200,26.8,52.4,1.8141,965.0,818.0,844.0,1681.0,777.0,0.9
1965,1088560800,26.0,54.9,1.8141,961.0,801.0,850.0,1683.0,798.0,0.8
1966,1088568000,26.9,51.8,1.805,864.0,629.0,1052.0,1558.0,728.0,0.5
1967,1088571600,24.6,59.1,1.8013,952.0,742.0,892.0,1656.0,953.0,0.7
1968,1088575200,26.4,53.1,1.7987,1009.0,875.0,797.0,1738.0,1060.0,0.9
1969,1088578800,27.3,46.4,1.6542,1225.0,1155.0,643.0,1992.0,1338.0,2.2
1970,1088582400,28.4,40.4,1.5442,1245.0,1202.0,628.0,2039.0,1622.0,2.8
1971,1088586000,30.8,37.1,1.6169,1265.0,1209.0,638.0,2015.0,1812.0,2.9
1972,1088589600,34.2,30.7,1.6252,1276.0,1241.0,642.0,2024.0,1784.0,2.9
1973,1088593200,37.0,26.5,1.6352,1232.0,1183.0,675.0,1920.0,1509.0,3.0
1974,1088596800,36.6,27.8,1.676,1193.0,1097.0,698.0,1832.0,1139.0,2.5
1975,1088600400,36.9,26.9,1.6477,1162.0,1117.0,700.0,1857.0,1044.0,2.3
1976,1088604000,39.3,22.2,1.552,1126.0,1097.0,723.0,1810.0,1015.0,2.1
1977,1088607600,38.5,22.4,1.5018,1089.0,993.0,801.0,1675.0,825.0,1.9
1978,1088611200,39.7,20.4,1.4594,1134.0,1073.0,747.0,1765.0,1022.0,2.3
1979,1088614800,38.8,24.2,1.6433,1388.0,1418.0,568.0,2250.0,1913.0,4.2
1980,1088622000,34.0,32.9,1.7251,1352.0,1385.0,563.0,2205.0,1661.0,4.9
1981,1088625600,31.9,33.7,1.5663,1217.0,1227.0,641.0,2040.0,1404.0,3.5
1982,1088629200,30.2,37.6,1.587,1149.0,1132.0,688.0,1936.0,1233.0,2.5
1983,1088632800,28.9,41.0,1.6096,1156.0,1129.0,688.0,1941.0,1181.0,2.5
1984,1088636400,27.8,45.2,1.6604,1180.0,1122.0,678.0,1921.0,1272.0,2.6
1985,1088640000,27.1,47.4,1.6701,1109.0,1080.0,696.0,1874.0,1190.0,2.3
1986,1088643600,26.2,49.4,1.6555,1032.0,974.0,763.0,1800.0,982.0,1.5
1987,1088647200,26.9,49.3,1.7196,893.0,767.0,918.0,1607.0,805.0,0.9
1988,1088654400,24.9,54.6,1.6908,850.0,664.0,1038.0,1568.0,727.0,0.6
1989,1088658000,23.4,58.6,1.6651,938.0,782.0,879.0,1685.0,1001.0,0.8
1990,1088661600,24.4,55.2,1.6604,948.0,828.0,858.0,1711.0,994.0,0.9
1991,1088665200,25.1,54.3,1.7057,1225.0,1214.0,625.0,2090.0,1322.0,2.4
1992,1088668800,26.6,51.2,1.7565,1380.0,1359.0,538.0,2337.0,1617.0,3.9
1993,1088672400,28.2,47.1,1.7752,1276.0,1138.0,628.0,2021.0,1430.0,2.9
1994,1088676000,31.6,39.4,1.7969,1246.0,1093.0,667.0,1942.0,1357.0,2.7
1995,1088679600,34.2,31.8,1.6837,1141.0,996.0,767.0,1805.0,994.0,2.0
1996,1088683200,36.6,27.1,1.6352,1199.0,1124.0,680.0,1940.0,1054.0,2.4
1997,1088686800,37.6,26.9,1.715,1156.0,1056.0,710.0,1842.0,945.0,2.0
1998,1088690400,38.1,26.3,1.7213,1158.0,983.0,751.0,1803.0,808.0,1.8
1999,1088694000,37.8,26.9,1.7392,1163.0,1039.0,723.0,1814.0,888.0,1.9
2000,1088697600,37.8,22.7,1.4653,1078.0,1009.0,767.0,1730.0,787.0,1.8
2001,1088701200,36.9,24.7,1.5134,1244.0,1219.0,651.0,1949.0,1077.0,2.9
2002,1088704800,34.5,28.5,1.531,1236.0,1239.0,637.0,1986.0,1106.0,3.3
2003,1088708400,32.5,30.9,1.4875,1364.0,1376.0,580.0,2168.0,1356.0,4.4
2004,1088712000,30.9,30.4,1.338,1193.0,1196.0,675.0,1888.0,1152.0,3.4
2005,1088715600,28.7,34.7,1.3457,1078.0,985.0,778.0,1697.0,925.0,1.9
2006,1088719200,27.7,39.3,1.4372,1140.0,1035.0,726.0,1779.0,1059.0,2.1
2007,1088722800,26.8,45.1,1.5645,1239.0,1127.0,648.0,1930.0,1201.0,2.5
2008,1088726400,26.1,45.3,1.5115,1171.0,1093.0,669.0,1862.0,1205.0,2.3
2009,1088730000,25.9,46.1,1.5174,1065.0,977.0,736.0,1733.0,1103.0,1.7
2010,1088733600,25.3,47.6,1.513,1024.0,882.0,791.0,1662.0,1072.0,1.5
2011,1088744400,25.1,48.0,1.5115,887.0,647.0,1046.0,1500.0,740.0,0.5
2012,1088748000,24.8,50.6,1.5654,993.0,795.0,888.0,1629.0,770.0,0.8
2013,1088751600,25.7,49.7,1.615,1299.0,1225.0,620.0,2077.0,1327.0,2.6
2014,1088758800,29.3,40.0,1.6082,1320.0,1210.0,595.0,2052.0,1477.0,2.9
2015,1088762400,33.6,28.7,1.4693,1226.0,1168.0,650.0,1952.0,1311.0,2.8
2016,1088766000,34.6,27.7,1.4991,1105.0,980.0,777.0,1745.0,980.0,1.8
2017,1088769600,35.6,27.2,1.5557,1160.0,1040.0,720.0,1810.0,961.0,1.8
2018,1088773200,36.9,23.3,1.4313,1125.0,1051.0,730.0,1771.0,923.0,1.9
2019,1088776800,38.8,20.7,1.4036,1099.0,1015.0,763.0,1732.0,839.0,1.7
2020,1088780400,38.1,22.6,1.4868,1124.0,1021.0,745.0,1735.0,827.0,1.7
2021,1088784000,37.1,23.0,1.4229,1105.0,995.0,778.0,1681.0,821.0,1.9
2022,1088787600,34.8,19.3,1.0543,1035.0,1043.0,804.0,1647.0,749.0,2.1
2023,1088791200,33.6,20.7,1.059,1065.0,1110.0,757.0,1691.0,871.0,2.4
2024,1088794800,31.4,18.5,0.8376,1051.0,1220.0,739.0,1729.0,1077.0,3.0
2025,1088798400,29.5,23.8,0.9623,1073.0,1124.0,752.0,1688.0,1175.0,2.8
2026,1088802000,27.4,27.1,0.9736,1008.0,1004.0,817.0,1588.0,1125.0,1.9
2027,1088805600,26.1,31.1,1.0338,1090.0,1073.0,745.0,1693.0,1124.0,2.1
2028,1088809200,25.5,34.0,1.0935,1048.0,983.0,780.0,1643.0,1064.0,1.8
2029,1088812800,24.0,37.8,1.1125,1131.0,1087.0,705.0,1738.0,1240.0,2.5
2030,1088816400,24.2,37.3,1.1118,953.0,874.0,854.0,1528.0,899.0,1.1
2031,1088820000,23.4,40.6,1.1571,897.0,745.0,968.0,1461.0,807.0,0.7
2032,1088827200,22.6,43.0,1.1629,828.0,639.0,1077.0,1371.0,573.0,0.4
2033,1088830800,20.2,50.7,1.1844,892.0,739.0,964.0,1479.0,768.0,0.7
2034,1088834400,20.5,49.3,1.176,914.0,809.0,912.0,1530.0,807.0,0.7
2035,1088838000,21.4,48.0,1.2086,1096.0,1017.0,722.0,1743.0,1204.0,1.8
2036,1088841600,23.2,43.9,1.2344,1173.0,1130.0,648.0,1885.0,1401.0,2.3
2037,1088845200,25.3,40.7,1.2921,1125.0,1016.0,712.0,1725.0,1256.0,1.9
2038,1088848800,29.9,31.1,1.2883,1079.0,976.0,781.0,1669.0,999.0,1.7
2039,1088852400,33.9,21.3,1.1067,974.0,930.0,872.0,1536.0,712.0,1.3
2040,1088856000,36.3,16.0,0.9465,977.0,973.0,865.0,1550.0,712.0,1.5
2041,1088859600,36.6,15.2,0.9177,912.0,873.0,946.0,1436.0,614.0,1.3
2042,1088863200,37.4,15.8,0.9998,896.0,817.0,992.0,1426.0,554.0,0.8
2043,1088866800,37.9,15.0,0.9721,896.0,822.0,1002.0,1391.0,722.0,0.8
2044,1088870400,38.0,16.8,1.0933,956.0,862.0,930.0,1479.0,636.0,1.1
2045,1088874000,36.9,17.5,1.0789,970.0,900.0,909.0,1524.0,664.0,1.2
2046,1088877600,35.3,17.0,0.9561,929.0,869.0,942.0,1454.0,624.0,1.2
2047,1088881200,31.9,20.4,0.9462,947.0,926.0,905.0,1484.0,659.0,1.4
2048,1088884800,29.1,29.6,1.1792,1003.0,880.0,864.0,1537.0,695.0,1.1
2049,1088888400,27.4,33.4,1.2022,1045.0,940.0,822.0,1658.0,920.0,1.5
2050,1088892000,26.7,35.8,1.2318,1125.0,1035.0,728.0,1726.0,1150.0,2.0
2051,1088895600,25.2,42.7,1.3473,1138.0,985.0,742.0,1710.0,1141.0,1.9
2052,1088899200,24.0,51.9,1.5252,1217.0,1060.0,660.0,1840.0,1227.0,2.2
2053,1088902800,24.5,44.4,1.3476,983.0,831.0,847.0,1585.0,887.0,1.1
2054,1088906400,22.6,51.0,1.3805,1007.0,864.0,816.0,1639.0,987.0,1.1
2055,1088913600,21.2,56.8,1.4094,914.0,725.0,949.0,1550.0,780.0,0.6
2056,1088917200,20.3,59.6,1.3994,886.0,702.0,971.0,1528.0,767.0,0.6
2057,1088920800,21.3,56.7,1.4178,899.0,708.0,972.0,1559.0,780.0,0.6
2058,1088924400,23.0,54.6,1.5177,942.0,723.0,968.0,1573.0,698.0,0.6
2059,1088928000,23.7,54.3,1.5731,1022.0,817.0,835.0,1669.0,821.0,1.1
2060,1088931600,25.4,49.3,1.5732,1009.0,810.0,859.0,1634.0,772.0,1.0
2061,1088935200,29.6,37.7,1.544,1025.0,809.0,877.0,1606.0,690.0,1.0
2062,1088938800,33.9,26.2,1.3664,977.0,783.0,939.0,1543.0,586.0,1.0
2063,1088942400,35.8,22.4,1.2933,936.0,757.0,1007.0,1459.0,523.0,0.8
2064,1088946000,37.9,18.8,1.222,884.0,703.0,1076.0,1394.0,488.0,0.7
2065,1088949600,38.5,14.8,0.9942,809.0,664.0,1185.0,1270.0,427.0,0.4
2066,1088953200,39.3,14.5,1.0149,852.0,718.0,1109.0,1307.0,468.0,0.5
2067,1088956800,38.9,15.6,1.0613,872.0,708.0,1106.0,1331.0,489.0,0.6
2068,1088960400,37.9,12.7,0.8211,839.0,752.0,1102.0,1298.0,515.0,0.7
2069,1088964000,35.8,13.4,0.7749,854.0,788.0,1064.0,1310.0,562.0,0.9
2070,1088967600,32.3,19.7,0.9345,971.0,942.0,900.0,1541.0,776.0,1.6
2071,1088971200,30.1,23.5,0.9869,985.0,944.0,866.0,1541.0,833.0,1.6
2072,1088974800,28.2,28.7,1.0806,1027.0,981.0,817.0,1631.0,1023.0,1.7
2073,1088978400,26.0,35.7,1.1842,1012.0,876.0,853.0,1580.0,967.0,1.3
2074,1088982000,25.3,39.2,1.2452,1086.0,973.0,766.0,1656.0,1089.0,1.9
2075,1088985600,24.7,38.7,1.1845,1025.0,939.0,790.0,1635.0,1103.0,1.5
2076,1088989200,25.5,35.7,1.1499,848.0,692.0,1034.0,1412.0,734.0,0.6
2077,1088992800,22.5,43.2,1.1589,839.0,652.0,1075.0,1405.0,671.0,0.4
2078,1089003600,21.6,45.7,1.1665,799.0,613.0,1120.0,1387.0,641.0,0.4
2079,1089007200,21.1,47.3,1.1654,879.0,792.0,906.0,1521.0,825.0,0.7
2080,1089010800,21.6,44.1,1.1269,1104.0,1125.0,697.0,1815.0,1179.0,2.0
2081,1089014400,23.7,37.9,1.0988,1344.0,1496.0,519.0,2311.0,1651.0,3.9
2082,1089018000,26.0,30.1,0.9953,1226.0,1272.0,632.0,1901.0,1474.0,3.6
2083,1089021600,30.6,23.2,1.001,1157.0,1176.0,691.0,1779.0,1370.0,3.2
2084,1089025200,34.1,19.1,1.0048,1059.0,1060.0,798.0,1638.0,1141.0,2.2
2085,1089028800,36.2,18.0,1.0636,1076.0,1057.0,778.0,1633.0,1076.0,2.2
2086,1089032400,37.4,17.3,1.0914,1066.0,1041.0,783.0,1641.0,1036.0,2.1
2087,1089036000,39.5,15.6,1.102,1049.0,994.0,813.0,1580.0,881.0,1.8
2088,1089039600,40.4,14.9,1.1033,1097.0,1074.0,776.0,1671.0,960.0,2.0
2089,1089043200,40.1,16.1,1.1699,1087.0,1018.0,791.0,1624.0,883.0,1.8
2090,1089046800,39.3,18.9,1.3251,1269.0,1269.0,633.0,1942.0,1221.0,3.0
2091,1089050400,37.3,19.9,1.2437,1328.0,1405.0,584.0,2072.0,1518.0,4.3
2092,1089054000,33.6,22.9,1.1747,1200.0,1270.0,654.0,1906.0,1264.0,3.5
2093,1089057600,30.7,28.9,1.2501,1098.0,1105.0,732.0,1768.0,1061.0,2.5
2094,1089061200,28.8,32.8,1.2776,1058.0,1004.0,776.0,1684.0,947.0,1.8
